Year	Levy Revenue Page	General	FACTv	Transit	Library	Debt	Capital	TID Alloc	City Total	MMSD	Oregon	Verona	MATC	Dane	State Forest	Grand Total	InterGov Pg	InterGov	Assessed Value Page	AssessedValue	Equalized Value	Ratio	SFH Data Page	SFH Assessed	SFH Tax	MF Assessed	MF Tax
1995																			2008 p 11 of 113	$772,939,950	$842,907,500	0.916992612					
1996																			2008 p 11 of 113	$808,853,970	$905,537,200	0.893231079	2010 p 8 of 118	$143,600	$885		
1997																			2008 p 11 of 113	$915,339,925	$988,594,800	0.9259	2011 p 8 of 118	$158,100	$942		
1998																			2008 p 11 of 113	$958,338,260	$1,047,270,800	0.91508162	2011 p 8 of 118	$159,300	$1,021		
1999																			2008 p 11 of 113	$999,365,405	$1,107,207,800	0.902599679	2011 p 8 of 118	$162,200	$1,105		
2000																			2008 p 11 of 113	$1,044,284,005	$1,198,743,800	0.871148618	2011 p 8 of 118	$162,200	$1,186		
2001																			2008 p 11 of 113	$1,094,542,685	$1,363,848,300	0.802539905	2011 p 8 of 118	$163,000	$1,232		
2002																			2008 p 11 of 113	$1,152,718,125	$1,516,111,600	0.760312186	2011 p 8 of 118	$165,000	$1,396		
2003																			2008 p 11 of 113	$1,198,870,065	$1,659,614,900	0.722378466	2011 p 8 of 118	$167,500	$1,407		
2004																			2008 p 11 of 113	$1,283,840,895	$1,892,988,500	0.678208502	2011 p 8 of 118	$170,500	$1,527		
2005																			2008 p 11 of 113	$2,125,066,172	$2,098,978,800	1.012428602	2011 p 8 of 118	$269,755	$1,521		
2006	2008 p 7 of 113	$8,445,463	$0	$0	$0	$2,577,903	$928,443	$28,509	$11,980,318								2008 27 of 113	$1,626,209	2008 p 7 of 113	$2,256,755,020	$2,296,882,600	0.982529547	2011 p 8 of 118	$267,400	$1,501		
2007	2009 p 7 of 120	$9,292,894	$0	$0	$0	$2,300,000	$933,000	$153,063	$12,678,957								2009 23 of 120	$1,816,839	2008 p 7 of 113	$2,410,192,040	$2,557,266,700	0.942487555	2011 p 8 of 118	$270,900	$1,539		
2008	p 8 of 113	$10,472,248	$0	$0	$0	$1,971,655	$826,000	$420,437	$13,690,340	$12,444,885	$2,526,534	$11,639,858	$3,066,094	$6,852,298	$433,984	$50,653,993	2010 19 of 112	$1,676,776	2009 p7 of 120	$2,495,173,890	$2,582,601,800	0.966147352		$269,300	$1,573		
2009	p 8 of 120	$11,419,565	$0	$0	$59,736	$1,468,407	$1,052,844	$573,871	$14,574,423	$12,558,809	$2,502,504	$12,322,792	$3,128,592	$6,914,978	$438,283	$52,440,381	2011 20 of 118	$1,736,232	2010 p 5 of 112	$2,539,792,799	$2,582,226,200	0.983567125		$269,400	$1,604		
2010	p 6 of 112	$11,890,612	$0	$0	$132,035	$1,391,109	$1,006,298	$704,306	$15,124,360	$12,964,009	$2,654,459	$12,494,442	$3,390,548	$7,384,142	$438,220	$54,450,180	2012 21 of 120	$1,849,077	2011 p 4 of 118	$2,490,026,800	$2,524,627,800	0.986294613		$265,100	$1,889		
2011	p 5 of 118	$11,860,970	$0	$0	$1,613,696	$2,484,875	$922,069	$866,922	$17,748,532	$13,738,752	$2,836,991	$12,772,935	$3,722,857	$6,855,940	$428,445	$58,104,452	2013 23 of 124	$2,042,850	2012 p 7 of 120	$2,444,146,000	$2,489,764,900	0.981677427		$265,000	$2,008		
2012	p 8 of 120	$12,350,943	$0	$0	$1,504,346	$2,757,830	$973,651	$930,279	$18,517,049	$13,638,046	$2,906,882	$12,594,702	$4,256,104	$7,142,202	$422,528	$59,477,513	2014 27 of 119	$1,703,113	2013 p 8 of 124	$2,450,235,700	$2,447,132,400	1.001268137		$263,400	$1,991		
2013	p 9 of 124	$12,508,311	$0	$0	$1,524,769	$2,819,689	$620,500	$1,051,411	$18,524,680	$13,951,686	$2,937,067	$12,713,342	$4,443,092	$7,352,519	$415,293	$60,337,679	2015 28 of 113	$1,802,779	2014 p 8 of 119	$2,514,568,400	$2,503,773,000	1.004311653		$256,900	$2,014		
2014	p 9 of 119	$12,832,476	$0	$0	$1,557,433	$3,214,036	$669,900	$1,441,399	$19,715,244	$14,943,237	$2,990,329	$12,284,496	$4,609,424	$7,804,050	$424,905	$62,771,685	2016 36 of 126	$2,019,738	2015 p 9 of 113	$2,592,798,500	$2,623,964,200	0.988122666		$262,448	$2,086		
2015	p 10 of 113	$13,009,593	$0	$0	$1,604,133	$3,618,232	$1,145,386	$1,230,313	$20,607,657	$15,965,402	$3,136,191	$12,343,571	$2,450,087	$8,179,091	$445,302	$63,127,301	2017 38 of 132	$2,146,147	2016 p 8 of 126	$2,657,971,530	$2,711,401,700	0.980294263		$262,800	$2,178		
2016	p 9 of 126	$13,774,089	$0	$0	$1,663,679	$3,607,587	$723,888	$2,261,232	$22,030,475	$16,788,702	$3,272,519	$12,610,399	$2,514,429	$8,528,595	$460,141	$66,205,260	2018 29 of 146	$2,344,733	2017 p 8 of 132	$2,766,790,100	$2,830,645,500	0.9774414		$272,800	$2,330		
2017	p 9 of 132	$14,279,560	$0	$0	$1,731,219	$4,059,220	$1,431,215	$2,127,395	$23,628,609	$17,179,434	$3,601,107	$12,970,166	$2,733,668	$8,861,330	$480,378	$69,454,692	2019 30 of 153	$2,705,051	2018 p 8 of 146	$2,936,371,100	$2,954,018,100	0.994026103		$282,000	$2,411		
2018	p 9 of 146	$14,951,960	$0	$0	$1,784,887	$4,358,568	$1,538,763	$2,471,960	$25,106,138	$17,080,910	$3,891,972	$14,642,556	$2,782,059	$9,295,096	$0	$72,798,731	2020 33 of 144	$2,846,900	2019 p 9 of 153	$3,078,410,600	$3,135,272,200	0.981863903		$294,000	$2,409		
2019	p 10 of 153	$15,276,084	$0	$0	$1,835,488	$3,876,320	$1,788,363	$2,448,951	$25,225,206	$17,153,398	$4,325,807	$15,396,167	$2,851,831	$9,300,362	$0	$74,252,771	2021 31 of 146	$3,087,047	2020 p 9 of 144	$3,324,638,700	$3,419,112,900	0.972368798		$310,900	$2,475		
2020	p 10 of 144	$15,987,571	$0	$0	$1,900,097	$4,139,753	$1,705,663	$2,733,589	$26,466,673	$18,712,258	$4,754,752	$16,708,881	$3,020,034	$9,904,326	$0	$79,566,924	2022 40 of 151	$3,266,595	2021 p 10 of 146	$3,738,640,300	$3,706,378,900	1.008704291		$330,100	$2,537	$82,700	$636
2021	p 11 of 146	$16,830,691	$95,953	$0	$1,964,700	$4,294,802	$1,697,556	$3,850,397	$28,734,099	$19,664,356	$6,053,502	$18,011,642	$3,202,667	$10,625,584	$0	$86,291,850	2023 35 of 164	$2,833,766	2022 p 11 of 131	$3,950,211,400	$4,100,343,800	0.963385412		$330,100	$2,617	$84,900	$673
2022	p 12 of 151	$18,352,861	$155,102	$0	$2,052,994	$4,508,620	$1,883,265	$4,364,575	$31,317,417	$20,881,066	$7,494,524	$19,554,705	$3,307,973	$11,858,949	$0	$94,414,634	2024 64 of 197	$3,911,714	2023 p 11 of 164	$4,825,991,080	$4,835,636,273	0.998005393		$378,500	$2,547	$122,000	$821
